ID,post_parent,sku,post_title,post_excerpt,post_content,post_status,regular_price,sale_price,stock_status,stock,manage_stock,weight,length,width,height,images,fifu_image_url_0,fifu_image_url_1,fifu_image_url_2,fifu_image_url_3,fifu_image_url_4,fifu_image_url_5,fifu_image_url_6,fifu_image_url_7,fifu_image_url_8,fifu_image_url_9,fifu_image_url_10,fifu_image_url_11,fifu_image_url_12,fifu_image_url_13,fifu_image_url_14,fifu_image_url_15,tax:product_type,tax:product_cat,tax:product_tag,visibility,featured,downloadable,virtual,backorders,low_stock_amount,menu_order,tax_status,tax_class,shipping_class,attribute:Baleni_obsahuje,attribute:Barva,attribute:Délka rukávu,attribute:Gard,attribute:Hmotnost,attribute:Kapacita,attribute:Kolekce,attribute:Materiál,attribute:Objem,attribute:Pocet_raket,attribute:Pohlaví,attribute:Povrch,attribute:Rozmery,attribute:Sport,attribute:Technologie,attribute:Typ_mice,attribute:Typ_spojeni_zaplaty,attribute:Velikost,attribute:Velikost_hlavy,attribute:Velikost_mice,attribute:Vyvazeni_rakety,attribute:Vzor_vypletu,attribute:Zapínání,attribute:pa_velikost,attribute_data:Baleni_obsahuje,attribute_data:Barva,attribute_data:Délka rukávu,attribute_data:Gard,attribute_data:Hmotnost,attribute_data:Kapacita,attribute_data:Kolekce,attribute_data:Materiál,attribute_data:Objem,attribute_data:Pocet_raket,attribute_data:Pohlaví,attribute_data:Povrch,attribute_data:Rozmery,attribute_data:Sport,attribute_data:Technologie,attribute_data:Typ_mice,attribute_data:Typ_spojeni_zaplaty,attribute_data:Velikost,attribute_data:Velikost_hlavy,attribute_data:Velikost_mice,attribute_data:Vyvazeni_rakety,attribute_data:Vzor_vypletu,attribute_data:Zapínání,attribute_data:pa_velikost,attribute_default:pa_velikost,meta:attribute_baleni_obsahuje,meta:attribute_barva,meta:attribute_délka rukávu,meta:attribute_gard,meta:attribute_hmotnost,meta:attribute_kapacita,meta:attribute_kolekce,meta:attribute_materiál,meta:attribute_objem,meta:attribute_pa_velikost,meta:attribute_pocet_raket,meta:attribute_pohlaví,meta:attribute_povrch,meta:attribute_rozmery,meta:attribute_sport,meta:attribute_technologie,meta:attribute_typ_mice,meta:attribute_typ_spojeni_zaplaty,meta:attribute_velikost,meta:attribute_velikost_hlavy,meta:attribute_velikost_mice,meta:attribute_vyvazeni_rakety,meta:attribute_vzor_vypletu,meta:attribute_zapínání,parent_sku
5124,,WRA815201,Tenisová kšiltovka Wilson Ultralight Tennis Cap II bílá,"Tenisová kšiltovka Wilson Ultralight Tennis Cap II v bílém provedení je skvělým doplňkem pro každého tenisového nadšence. Je vyrobena z lehkého materiálu, který poskytuje pohodlné nošení a zajišťuje optimální prodyšnost.

Díky svému střihu a nastavitelnému zapínání se přizpůsobí tvaru hlavy a umožní individuální nastavení. Bílá barva je univerzální a snadno se kombinuje s různými sportovními outfity. Kšiltovka je zdobena logem Wilson, které dodává produktu výrazný vzhled. Nechte se okouzlit stylem a pohodlím tenisové kšiltovky Wilson Ultralight Tennis Cap II WRA815201 v bílé variantě.","<strong>Tenisová kšiltovka Wilson Ultralight Tennis Cap II v bílém provedení</strong> je skvělým doplňkem pro každého tenisového nadšence. Je vyrobena z lehkého materiálu, který poskytuje pohodlné nošení a zajišťuje optimální prodyšnost. Díky svému střihu a nastavitelnému zapínání se přizpůsobí tvaru hlavy a umožní individuální nastavení. Bílá barva je univerzální a snadno se kombinuje s různými sportovními outfity. <strong>Kšiltovka</strong> je zdobena <strong>logem Wilson</strong>, které dodává produktu výrazný vzhled. Nechte se okouzlit stylem a pohodlím tenisové <strong>kšiltovky Wilson Ultralight Tennis Cap II WRA815201 v bílé variantě.</strong> <strong>Vlastnosti:</strong> Kšiltovka pro muže od značky Wilson. Zaoblený štít. Perforovaný materiál na zadní straně pro lepší větrání. Logo výrobce <strong>Materiál:</strong> polyester. <strong>Barva:</strong> bílá.",publish,3296.16,,instock,2,yes,0.4,,,,https://storage.googleapis.com/sportovni-eshop-produkty-fotky/images/WRA815201-Tenisová-kšiltovka-Wilson-Ultralight-Tennis-Cap-II-bílá-Sportovni-eshop-cz.jpg|https://storage.googleapis.com/sportovni-eshop-produkty-fotky/images/WRA815201-Tenisová-kšiltovka-Wilson-Ultralight-Tennis-Cap-II-bílá-Sportovni-eshop-cz2.jpg,https://storage.googleapis.com/sportovni-eshop-produkty-fotky/images/WRA815201-Tenisová-kšiltovka-Wilson-Ultralight-Tennis-Cap-II-bílá-Sportovni-eshop-cz.jpg,https://storage.googleapis.com/sportovni-eshop-produkty-fotky/images/WRA815201-Tenisová-kšiltovka-Wilson-Ultralight-Tennis-Cap-II-bílá-Sportovni-eshop-cz2.jpg,,,,,,,,,,,,,,,Simple,Muži > Pánské doplňky > Pánské čepice|Sporty > Tenis > Tenisové doplňky,Pánské|Tenis|Polyester,visible,no,no,no,no,,0,taxable,,,,Bílá,,,,,,Polyester,,,Pánské,,,Tenis,,,,,,,,,,,,1|1|0,,,,,,3|1|0,,,0|1|0,,,2|1|0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5125,,WRA815202,Tenisová kšiltovka Wilson Ultralight Tennis Cap II černá,"Tenisová kšiltovka Wilson Ultralight Tennis Cap II v černé variantě je ideální doplněk pro každého tenisového hráče. S černou barvou se snadno kombinuje s jakýmkoli sportovním outfitem. Kšiltovka má zaoblený kšilt, který chrání tvář před slunečním zářením, a perforovaný materiál na zadní straně, který zajišťuje lepší ventilaci a odvádí pot.

Na přední straně je umístěn výrazný výšivkový logo výrobce Wilson. Kšiltovka je vyrobena z kvalitního polyesterového materiálu, který je lehký, prodyšný a odolný. S touto tenisovou kšiltovkou v černém provedení se budete cítit pohodlně a stylově na každém tenisovém hřišti.","<strong>Tenisová kšiltovka Wilson Ultralight Tennis Cap II v černé variantě</strong> je ideální doplněk pro každého tenisového hráče. S černou barvou se snadno kombinuje s jakýmkoli sportovním outfitem. Kšiltovka má zaoblený kšilt, který chrání tvář před slunečním zářením, a perforovaný materiál na zadní straně, který zajišťuje lepší ventilaci a odvádí pot. Na přední straně je umístěn výrazný výšivkový logo výrobce <strong>Wilson</strong>. Kšiltovka je vyrobena z kvalitního polyesterového materiálu, který je lehký, prodyšný a odolný. S touto tenisovou <strong>kšiltovkou v černém provedení</strong> se budete cítit pohodlně a stylově na každém tenisovém hřišti. <strong>Vlastnosti:</strong> Kšiltovka Wilson pro muže. Zaoblený kšilt. Perforovaný materiál na zadní straně pro lepší ventilaci. Logo výrobce <strong>Materiál: </strong>polyester. <strong>Barva:</strong> černá.",publish,906.29,,instock,1,yes,0.4,,,,https://storage.googleapis.com/sportovni-eshop-produkty-fotky/images/WRA815201-Tenisova-ksiltovka-Wilson-Ultralight-Tennis-Cap-II-Cerna-Sportovni-eshop-cz.jpg|https://storage.googleapis.com/sportovni-eshop-produkty-fotky/images/WRA815201-Tenisova-ksiltovka-Wilson-Ultralight-Tennis-Cap-II-Cerna-Sportovni-eshop-cz2.jpg,https://storage.googleapis.com/sportovni-eshop-produkty-fotky/images/WRA815201-Tenisova-ksiltovka-Wilson-Ultralight-Tennis-Cap-II-Cerna-Sportovni-eshop-cz.jpg,https://storage.googleapis.com/sportovni-eshop-produkty-fotky/images/WRA815201-Tenisova-ksiltovka-Wilson-Ultralight-Tennis-Cap-II-Cerna-Sportovni-eshop-cz2.jpg,,,,,,,,,,,,,,,Simple,Muži > Pánské doplňky > Pánské čepice|Sporty > Tenis > Tenisové doplňky,Pánské|Tenis|Polyester,visible,no,no,no,no,,0,taxable,,,,Černá,,,,,,Polyester,,,Pánské,,,Tenis,,,,,,,,,,,,1|1|0,,,,,,3|1|0,,,0|1|0,,,2|1|0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5126,,233102-SC07-11-CN,Dětská tenisová raketa Head Novak 25 cv3 modrá 16x9,"Dětská tenisová raketa Head Novak 25 cv3 v modrém provedení je ideální volbou pro mladé tenisové nadšence. Tato tenisová raketa je navržena speciálně pro děti a jejich potřeby na tenisovém hřišti. S délkou 25 palců a optimální váhou je snadno ovladatelná a umožňuje dětem snadno zvládnout své údery.

Modré provedení rakety s motivem Novaka Djokoviće přitahuje pozornost a dodává tenisovému stylu potřebnou energii. Díky svému designu a kvalitě je tato raketa nejen skvělým nástrojem pro rozvoj dovedností na kurtu, ale také stylovým doplňkem pro každého mladého tenisového hráče.","<strong>Dětská tenisová raketa Head Novak 25 cv3 v modrém provedení</strong> je ideální volbou pro mladé tenisové nadšence. Tato tenisová raketa je navržena speciálně pro děti a jejich potřeby na tenisovém hřišti. S délkou 25 palců a optimální váhou je snadno ovladatelná a umožňuje dětem snadno zvládnout své údery. Modré provedení rakety s motivem <strong>Novaka Djokoviće</strong> přitahuje pozornost a dodává tenisovému stylu potřebnou energii. Díky svému designu a kvalitě je tato raketa nejen skvělým nástrojem pro rozvoj dovedností na kurtu, ale také stylovým doplňkem pro každého mladého tenisového hráče. <strong>Raketa Head Novak 25 cv3 v modrém provedení</strong> se vzorem výpletu 16x9 poskytuje optimální kompromis mezi kontrolou a sílou. To umožňuje dětem přesněji mířit a zároveň generovat dostatečnou sílu pro účinné údery. Tato raketa je ideální pro začátečníky i mírně pokročilé hráče. Přineste vašim dětem tenisovou radost s dětskou tenisovou raketou Head Novak 25 cv3 v modrém provedení. Pomožte jim rozvíjet jejich dovednosti, zlepšovat se na kurtu a prožívat nezapomenutelné tenisové zážitky <strong>Vlastnosti:</strong> Dětská raketa Head je skvělá pro rekreační tenisové hry. Raketa je pojmenována po tenisovém hráči Novaku Djokovićovi. Technologie Damp+ tlumí nárazy. Raketa je dodávána s 3/4 připevněným pouzdrem se nastavitelným popruhem. Informační kartička s kresbou příšery může být použita jako maska a samolepky mohou obohatit první tréninkové seance. <strong>Technické údaje:</strong> věk: 8-10 let materiál: hliník šířka rámu: 20 mm hmotnost (bez výpletu): 240 g Výplet: tovární délka rakety: 63,5 cm vyvážení: 30,5 cm uspořádání strun: 16x19 hlava rakety: 680 cm² obal: tovární",publish,1208.79,739.48,outofstock,0,yes,3.3,,,,https://storage.googleapis.com/sportovni-eshop-produkty-fotky/images/233102-SC07-11-CN-Detska-tenisova-raketa-Head-Novak-25-cv3-modra-16-9-Sportovni-eshop-cz.jpg|https://storage.googleapis.com/sportovni-eshop-produkty-fotky/images/233102-SC07-11-CN-Detska-tenisova-raketa-Head-Novak-25-cv3-modra-16-9-Sportovni-eshop-cz2.jpg,https://storage.googleapis.com/sportovni-eshop-produkty-fotky/images/233102-SC07-11-CN-Detska-tenisova-raketa-Head-Novak-25-cv3-modra-16-9-Sportovni-eshop-cz.jpg,https://storage.googleapis.com/sportovni-eshop-produkty-fotky/images/233102-SC07-11-CN-Detska-tenisova-raketa-Head-Novak-25-cv3-modra-16-9-Sportovni-eshop-cz2.jpg,,,,,,,,,,,,,,,Simple,Sporty > Tenis > Tenisové rakety|Děti,Děti|Tenis,visible,no,no,no,no,,0,taxable,,,,Modrá,,,240 gramů,,,,,,Děti,,,Tenis,Damp+,,,,680 cm2,,305 mm,16x9,,,,1|1|0,,,3|1|0,,,,,,0|1|0,,,2|1|0,5|1|0,,,,6|1|0,,7|1|0,4|1|0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5127,,WTH11020R,Volejbalová kšiltovka Wilson Volleyball Cap černá,"Kšiltovka Wilson Volleyball Cap v černém provedení je ideální doplněk pro všechny milovníky volejbalu. Tato černá kšiltovka s logem Wilson je stylová a zároveň funkční. Poskytuje ochranu před slunečním zářením a pohodlí během hry. Kšiltovka je vyrobena z kvalitních materiálů, které zajišťují trvanlivost a odolnost. Skvělá volba pro každého volejbalového nadšence.","<strong>Kšiltovka Wilson Volleyball Cap v černém provedení</strong> je ideální doplněk pro všechny milovníky volejbalu. Tato <strong>černá kšiltovka</strong> s logem Wilson je stylová a zároveň funkční. Poskytuje ochranu před slunečním zářením a pohodlí během hry. Kšiltovka je vyrobena z kvalitních materiálů, které zajišťují trvanlivost a odolnost. Skvělá volba pro každého volejbalového nadšence. <strong>Vlastnosti:</strong> Kšiltovka Wilson pro muže Zakulacený špičák Očka pro snadnou ventilaci Síťová zadní část Logo výrobce <strong>Barva:</strong> Černá",publish,990.99,,instock,6,yes,0.5,,,,https://storage.googleapis.com/sportovni-eshop-produkty-fotky/images/WTH11020R-Volejbalova-ksiltovka-Wilson-Volleyball-Cap-cerna-Sportovni-eshop-cz.jpg|https://storage.googleapis.com/sportovni-eshop-produkty-fotky/images/WTH11020R-Volejbalova-ksiltovka-Wilson-Volleyball-Cap-cerna-Sportovni-eshop-cz2.jpg|https://storage.googleapis.com/sportovni-eshop-produkty-fotky/images/WTH11020R-Volejbalova-ksiltovka-Wilson-Volleyball-Cap-cerna-Sportovni-eshop-cz3.jpg|https://storage.googleapis.com/sportovni-eshop-produkty-fotky/images/WTH11020R-Volejbalova-ksiltovka-Wilson-Volleyball-Cap-cerna-Sportovni-eshop-cz4.jpg,https://storage.googleapis.com/sportovni-eshop-produkty-fotky/images/WTH11020R-Volejbalova-ksiltovka-Wilson-Volleyball-Cap-cerna-Sportovni-eshop-cz.jpg,https://storage.googleapis.com/sportovni-eshop-produkty-fotky/images/WTH11020R-Volejbalova-ksiltovka-Wilson-Volleyball-Cap-cerna-Sportovni-eshop-cz2.jpg,https://storage.googleapis.com/sportovni-eshop-produkty-fotky/images/WTH11020R-Volejbalova-ksiltovka-Wilson-Volleyball-Cap-cerna-Sportovni-eshop-cz3.jpg,https://storage.googleapis.com/sportovni-eshop-produkty-fotky/images/WTH11020R-Volejbalova-ksiltovka-Wilson-Volleyball-Cap-cerna-Sportovni-eshop-cz4.jpg,,,,,,,,,,,,,Simple,Muži > Pánské doplňky > Pánské čepice|Ženy > Dámské doplňky > Dámské čepice|Sporty > Tenis > Tenisové doplňky,"Unisex|Volejbal, tenis",visible,no,no,no,no,,0,taxable,,,,Černá,,,,,,,,,Unisex,,,"Volejbal, tenis",,,,L/XL,,,,,,,,2|1|0,,,,,,,,,1|1|0,,,3|1|0,,,,0|1|0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5128,,WTH11120R,Volejbalový kšilt Wilson černý,Dámský kšilt Wilson Volleyball Cap v černém provedení je skvělým doplňkem pro všechny sportovní aktivity. Má zaoblený vrchol a otvory pro snadnou ventilaci. Zadní část je vyrobena z prodyšného materiálu. Kšilt je zdoben logem výrobce a je k dispozici v černé barvě. Oživte svůj sportovní styl s tímto stylovým kšiltem od Wilsonu.,<strong>Dámský kšilt Wilson Volleyball Cap v černém provedení</strong> je skvělým doplňkem pro všechny sportovní aktivity. Má zaoblený vrchol a otvory pro snadnou ventilaci. Zadní část je vyrobena z prodyšného materiálu. Kšilt je zdoben logem výrobce a je k dispozici v černé barvě. Oživte svůj sportovní styl s tímto stylovým kšiltem od Wilsonu. <strong>Vlastnosti:</strong> Univerzální kšilt od Wilsonu Navržena pro hru volejbalu Chrání před sluncem Možnost nastavení obvodu pomocí suchého zipu Výrobcovo logo Materiál: polyester <strong>Barva:</strong> Černá,publish,946.8,,instock,9,yes,0.5,,,,https://storage.googleapis.com/sportovni-eshop-produkty-fotky/images/WTH11120R-Volejbalovy-ksilt-Wilson-cerny-Sportovni-eshop-cz.jpg|https://storage.googleapis.com/sportovni-eshop-produkty-fotky/images/WTH11120R-Volejbalovy-ksilt-Wilson-cerny-Sportovni-eshop-cz2.jpg|https://storage.googleapis.com/sportovni-eshop-produkty-fotky/images/WTH11120R-Volejbalovy-ksilt-Wilson-cerny-Sportovni-eshop-cz3.jpg|https://storage.googleapis.com/sportovni-eshop-produkty-fotky/images/WTH11120R-Volejbalovy-ksilt-Wilson-cerny-Sportovni-eshop-cz4.jpg,https://storage.googleapis.com/sportovni-eshop-produkty-fotky/images/WTH11120R-Volejbalovy-ksilt-Wilson-cerny-Sportovni-eshop-cz.jpg,https://storage.googleapis.com/sportovni-eshop-produkty-fotky/images/WTH11120R-Volejbalovy-ksilt-Wilson-cerny-Sportovni-eshop-cz2.jpg,https://storage.googleapis.com/sportovni-eshop-produkty-fotky/images/WTH11120R-Volejbalovy-ksilt-Wilson-cerny-Sportovni-eshop-cz3.jpg,https://storage.googleapis.com/sportovni-eshop-produkty-fotky/images/WTH11120R-Volejbalovy-ksilt-Wilson-cerny-Sportovni-eshop-cz4.jpg,,,,,,,,,,,,,Simple,Muži|Ženy|Sporty > Tenis,"Unisex|Volejbal, tenis",visible,no,no,no,no,,0,taxable,,,,Černá,,,,,,,,,Unisex,,,"Volejbal, tenis",,,,Universální,,,,,,,,2|1|0,,,,,,,,,1|1|0,,,3|1|0,,,,0|1|0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5129,,CU5411-702,Dámské šaty na tenis Nike Air Tank Dress Zelené,"Dámské šaty na tenis Nike Air Tank Dress v zeleném provedení jsou skvělou volbou pro pohodlný a stylový vzhled na tenisovém hřišti. Tyto šaty mají moderní střih s nízkým výstřihem a jsou vyrobeny z kvalitních materiálů, které poskytují pohodlí a volnost pohybu.

Díky technologii Nike Air jsou šaty dobře prodyšné a udržují vás v suchu i při intenzivním pohybu. Zelená barva přidává šatům svěží a energický vzhled. Buďte připraveni na tenisové zápasy s těmito stylovými a funkčními šaty Nike.","<strong>Dámské šaty na tenis Nike Air Tank Dress v zeleném provedení</strong> jsou skvělou volbou pro pohodlný a stylový vzhled na tenisovém hřišti. Tyto šaty mají moderní střih s nízkým výstřihem a jsou vyrobeny z kvalitních materiálů, které poskytují pohodlí a volnost pohybu. Díky <strong>technologii Nike Air</strong> jsou šaty dobře prodyšné a udržují vás v suchu i při intenzivním pohybu. Zelená barva přidává šatům svěží a energický vzhled. Buďte připraveni na tenisové zápasy s těmito stylovými a funkčními šaty Nike. <strong>Vlastnosti:</strong> Dámské šaty Nike. Přiléhavý model bez rukávů. Měkký a flexibilní materiál. Skvěle se hodí na každý den. <strong>Materiál:</strong> 66% polyester, 29% nylon, 5% spandex. <strong>Barva:</strong> zelená.",publish,1111.99,,instock,166,yes,0.5,,,,https://storage.googleapis.com/sportovni-eshop-produkty-fotky/images/839837-Damske-saty-na-tenis-Nike-Air-Tank-Dress-Zelene-Sportovni-eshop-cz.jpg|https://storage.googleapis.com/sportovni-eshop-produkty-fotky/images/839837-Damske-saty-na-tenis-Nike-Air-Tank-Dress-Zelene-Sportovni-eshop-cz2.jpg,https://storage.googleapis.com/sportovni-eshop-produkty-fotky/images/839837-Damske-saty-na-tenis-Nike-Air-Tank-Dress-Zelene-Sportovni-eshop-cz.jpg,https://storage.googleapis.com/sportovni-eshop-produkty-fotky/images/839837-Damske-saty-na-tenis-Nike-Air-Tank-Dress-Zelene-Sportovni-eshop-cz2.jpg,,,,,,,,,,,,,,,Simple,Sporty > Lední hokej > Hokejové oblečení|Ženy > Dámské oblečení,"Dámské|Tenis|Polyester, Nylon, Spandex",visible,no,no,no,no,,0,taxable,,,,Zelená,Bez rukávů,,,,,"Polyester, Nylon, Spandex",,,Dámské,,,Tenis,,,,,,,,,,,,1|1|0,4|1|0,,,,,3|1|0,,,0|1|0,,,2|1|0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5130,,CU5411-702_2,Dámské šaty na tenis Nike Air Tank Dress Zelené S,"Dámské šaty na tenis Nike Air Tank Dress v zeleném provedení jsou skvělou volbou pro pohodlný a stylový vzhled na tenisovém hřišti. Tyto šaty mají moderní střih s nízkým výstřihem a jsou vyrobeny z kvalitních materiálů, které poskytují pohodlí a volnost pohybu.

Díky technologii Nike Air jsou šaty dobře prodyšné a udržují vás v suchu i při intenzivním pohybu. Zelená barva přidává šatům svěží a energický vzhled. Buďte připraveni na tenisové zápasy s těmito stylovými a funkčními šaty Nike.",,publish,1111.99,,instock,2,yes,0.5,,,,,,,,,,,,,,,,,,,,,Simple,Sporty > Lední hokej > Hokejové oblečení|Ženy > Dámské oblečení,,visible,no,no,no,no,,0,taxable,,,,,,,,,,,,,,,,,,,,S,,,,,,,,,,,,,,,,,,,,,,,,0|1|0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5131,,570824,Tenisové míče HEAD Tour Xt žluté 4 Ks,"Tenisové míče HEAD Tour Xt jsou ideální volbou pro náročné tenisové zápasy. Tyto žluté míče na tenis nabízejí skvělou kontrolu a přesnost při každém úderu. S jejich vynikající odrazivostí a trvanlivostí budete mít dlouhé hodiny radosti z hraní.

Balení obsahuje 4 kusy, které jsou připraveny na intenzivní tenisové souboje. S tenisovými míče HEAD Tour Xt míči budete připraveni dosáhnout maximálního výkonu a užít si skvělé tenisové zážitky.","<strong>Tenisové míče HEAD Tour Xt</strong> jsou ideální volbou pro náročné tenisové zápasy. Tyto žluté <strong>míče na tenis</strong> nabízejí skvělou kontrolu a přesnost při každém úderu. S jejich vynikající odrazivostí a trvanlivostí budete mít dlouhé hodiny radosti z hraní. Balení obsahuje 4 kusy, které jsou připraveny na intenzivní tenisové souboje. S <strong>tenisovými míče HEAD Tour Xt</strong> míči budete připraveni dosáhnout maximálního výkonu a užít si skvělé tenisové zážitky. <strong>Vlastnosti:</strong> Tenisové míče Head Pressure se osvědčí během turnajových zápasů na kurtu. Technologie Encore prodlužuje životnost míče. Certifikát ITF je potvrzením vhodných parametrů míčů pro hru na tvrdých a antukových kurtech. Míče mají velmi dobrou citlivost a optimální kontrolu. Balení obsahuje 4 kusy.",publish,608.03,,instock,9,yes,0.4,,,,https://storage.googleapis.com/sportovni-eshop-produkty-fotky/images/570824-Tenisove-mice-HEAD-Tour-Xt-zlute-4-Ks-Sportovni-eshop-cz.jpg|https://storage.googleapis.com/sportovni-eshop-produkty-fotky/images/570824-Tenisove-mice-HEAD-Tour-Xt-zlute-4-Ks-Sportovni-eshop-cz2.jpg,https://storage.googleapis.com/sportovni-eshop-produkty-fotky/images/570824-Tenisove-mice-HEAD-Tour-Xt-zlute-4-Ks-Sportovni-eshop-cz.jpg,https://storage.googleapis.com/sportovni-eshop-produkty-fotky/images/570824-Tenisove-mice-HEAD-Tour-Xt-zlute-4-Ks-Sportovni-eshop-cz2.jpg,,,,,,,,,,,,,,,Simple,Muži|Ženy|Sporty > Tenis,Unisex|Tenis,visible,no,no,no,no,,0,taxable,,,4 Ks,Žlutá,,,,,,,,,Unisex,Antuka||Tvrdý povrch,,Tenis,,,,,,,,,,,4|1|0,2|1|0,,,,,,,,,0|1|0,1|1|0,,3|1|0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5132,,S599710,Tenisové míče Dunlop ATP Championship 4 Ks žluté,"Tenisové míče Dunlop ATP Championship jsou ideální volbou pro profesionální tenisové zápasy. Tyto tenisové míče splňují nejvyšší standardy kvality a výkonu, což zajišťuje konzistentní odezvu a přesnost při každém úderu.

Díky žlutému povrchu jsou míče dobře viditelné na hřišti, co usnadňuje sledování jejich trajektorie. Balení obsahuje 4 kusy míčů, takže máte dostatek zásoby pro dlouhé tréninky a zápasy.

Důvěřujte tenisovým míčům Dunlop ATP Championship a zažijte skvělé výkony na kurtu.","<strong>Tenisové míče Dunlop ATP Championship</strong> jsou ideální volbou pro profesionální tenisové zápasy. Tyto tenisové míče splňují nejvyšší standardy kvality a výkonu, což zajišťuje konzistentní odezvu a přesnost při každém úderu. Díky žlutému povrchu jsou míče dobře viditelné na hřišti, co usnadňuje sledování jejich trajektorie. Balení obsahuje 4 kusy míčů, takže máte dostatek zásoby pro dlouhé tréninky a zápasy. Důvěřujte <strong>tenisovým míčům Dunlop ATP Championship</strong> a zažijte skvělé výkony na kurtu. <strong>Vlastnosti:</strong> Tenisový míček značky Dunlop Vyrobena z filcu Sada obsahuje 4 kusy Schváleno: Schváleno ITF <strong>Materiál:</strong> filc <strong>Barva:</strong> žlutá",publish,556.86,,instock,74,yes,0.5,,,,https://storage.googleapis.com/sportovni-eshop-produkty-fotky/images/S599710-Tenisove-mice-Dunlop-ATP-Championship-4-Ks-zlute-Sportovni-eshop-cz.jpg,https://storage.googleapis.com/sportovni-eshop-produkty-fotky/images/S599710-Tenisove-mice-Dunlop-ATP-Championship-4-Ks-zlute-Sportovni-eshop-cz.jpg,,,,,,,,,,,,,,,,Simple,Muži|Ženy|Sporty > Tenis,Unisex|Tenis,visible,no,no,no,no,,0,taxable,,,4 Ks,Žlutá,,,,,,,,,Unisex,,,Tenis,,,,,,,,,,,3|1|0,1|1|0,,,,,,,,,0|1|0,,,2|1|0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5133,,WRT109400,Tenisové míče Wilson Tour Premier All Court 3 Ks žluté,"Tenisové míče Wilson Tour Premier All Court jsou ideální volbou pro tenisové hřiště. S jejich vysokou kvalitou a odolností se budete cítit sebevědomě během každého zápasu.

Tyto žluté míče mají skvělou viditelnost na kurtu a zajišťují optimální odezvu a kontrolu. Balení obsahuje 3 míče, které jsou schválené Mezinárodní tenisovou federací (ITF) pro použití na všech typech povrchů.

Přidejte si tyto kvalitní tenisové míče do svého arzenálu a připravte se na vítězný výkon.","<strong>Tenisové míče Wilson Tour Premier All Court</strong> jsou ideální volbou pro tenisové hřiště. S jejich vysokou kvalitou a odolností se budete cítit sebevědomě během každého zápasu. Tyto žluté míče mají skvělou viditelnost na kurtu a zajišťují optimální odezvu a kontrolu. Balení obsahuje 3 míče, které jsou schválené <strong>Mezinárodní tenisovou federací (ITF)</strong> pro použití na všech typech povrchů. Přidejte si tyto kvalitní tenisové míče do svého arzenálu a připravte se na vítězný výkon. <strong>Vlastnosti:</strong> Tenisové míče Wilson Tour Premier jsou profesionálním setem, který vám umožní vyhrávat zápas za zápasem. Tlakové míče jsou extrémně odolné. Silně žlutý povrch Yellow Optivis zaručuje vynikající viditelnost. Certifikát ITF potvrzuje vynikající parametry míče, který je vhodný pro hru na tvrdých kurtech a na antuce. Set obsahuje 3 tenisové míče Wilson, balené v praktické tubě.",publish,635.96,629.2,instock,40,yes,0.5,,,,https://storage.googleapis.com/sportovni-eshop-produkty-fotky/images/WRT109400-Tenisove-mice-Wilson-Tour-Premier-All-Court-3-Ks-zlute-Sportovni-eshop-cz.jpg,https://storage.googleapis.com/sportovni-eshop-produkty-fotky/images/WRT109400-Tenisove-mice-Wilson-Tour-Premier-All-Court-3-Ks-zlute-Sportovni-eshop-cz.jpg,,,,,,,,,,,,,,,,Simple,Muži|Ženy|Sporty > Tenis,Unisex|Tenis,visible,no,no,no,no,,0,taxable,,,3 Ks,Žlutá,,,,,,,,,Unisex,,,Tenis,,,,,,,,,,,3|1|0,1|1|0,,,,,,,,,0|1|0,,,2|1|0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
